sa_id,year,announced,topic,category,module,scope_tier,is_priority,cve,cwe,affects,git_hashes,svn_revisions,github_commit_urls,diff_available,data_quality,advisory_raw_url,source,upstream_path,note,commit_grade
FreeBSD-SA-18:04,2018,2018-04-04,vt console memory disclosure,core,vt,kernel,,CVE-2018-6917,,All supported versions of FreeBSD.,04dd2e2b5c1d,331983; 331984; 331982,https://github.com/freebsd/freebsd-src/commit/04dd2e2b5c1df77999a18b1674f49113752bfdf7,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-18:04.vt.asc,,,,
FreeBSD-SA-18:05,2018,2018-04-04,ipsec crash or denial of service,core,ipsec,kernel,,CVE-2018-6918,,All supported versions of FreeBSD.,6231fe94c9af,328621; 331985; 328620,https://github.com/freebsd/freebsd-src/commit/6231fe94c9afbc091f40ae541977be26b9ef7e06,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-18:05.ipsec.asc,,,,
FreeBSD-SA-18:06,2018,2018-05-08,Mishandling of x86 debug exceptions,core,debugreg,kernel,,CVE-2018-8897,,All supported versions of FreeBSD.,656ca4cb63d1,333370; 333371; 333369,https://github.com/freebsd/freebsd-src/commit/656ca4cb63d1a6617aed35e67db453542f06b7b2,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-18:06.debugreg.asc,,,,
FreeBSD-SA-18:08,2018,2018-08-06,Resource exhaustion in TCP reassembly,core,tcp,kernel,,CVE-2018-6922,,All supported versions of FreeBSD.,600f1373a2b4,337392; 337832; 337391; 337828,https://github.com/freebsd/freebsd-src/commit/600f1373a2b45ce65155944f15ff942d59e26efc,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-18:08.tcp.asc,,,,
FreeBSD-SA-18:10,2018,2018-08-14,Resource exhaustion in IP fragment reassembly,core,ip,kernel,,CVE-2018-6923,,All supported versions of FreeBSD.,deee6872d9cb,337804; 337828,https://github.com/freebsd/freebsd-src/commit/deee6872d9cb5ff90c1a758bdc8ddc5af999bfce,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-18:10.ip.asc,,,,
FreeBSD-SA-18:12,2018,2018-09-12,Improper ELF header parsing,core,elf,kernel,,CVE-2018-6924,,All supported versions of FreeBSD.,cf3ba93ef2e9,338605; 338606; 338604,https://github.com/freebsd/freebsd-src/commit/cf3ba93ef2e99ac2155e698c22020f1d27e04566,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-18:12.elf.asc,,,,
FreeBSD-SA-18:13,2018,2018-11-27,Multiple vulnerabilities in NFS server code,core,nfs,kernel,,CVE-2018-17157; CVE-2018-17158; CVE-2018-17159,,All supported versions of FreeBSD.,795132c5e923,340854; 341088,https://github.com/freebsd/freebsd-src/commit/795132c5e923c903dab61e4f51750c0f11969757,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-18:13.nfs.asc,,,,
FreeBSD-SA-18:14,2018,2018-12-04,Insufficient bounds checking in bhyve(8) device model,core,bhyve,tool,Yes,CVE-2018-17160,,All supported versions of FreeBSD.,28e817d86beb,341486; 341488,https://github.com/freebsd/freebsd-src/commit/28e817d86beb17c1dfc256749d91eabc40670c89,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-18:14.bhyve.asc,,,,focused
FreeBSD-SA-18:15,2018,2018-12-19,bootpd buffer overflow,core,bootpd,tool,Yes,CVE-2018-17161,,All supported versions of FreeBSD.,e848f793a385,342228; 342230; 348229; 342231,https://github.com/freebsd/freebsd-src/commit/e848f793a3853cf43926046c8be339703c79833e,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-18:15.bootpd.asc,,,,focused
FreeBSD-SA-19:01,2019,2019-02-05,System call kernel data register leak,core,syscall,kernel,,CVE-2019-5595,,All supported versions of FreeBSD.,474fa6d4f037,343781; 343788; 343782; 343789,https://github.com/freebsd/freebsd-src/commit/474fa6d4f037877b112f3f8651f50dd24fd76957,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:01.syscall.asc,,,,
FreeBSD-SA-19:02,2019,2019-02-05,File description reference count leak,core,fd,kernel,,CVE-2019-5596,,FreeBSD 12.0,99f9f36c3dfa,343785; 343790; 343786,https://github.com/freebsd/freebsd-src/commit/99f9f36c3dfa16e76ecf2e82fab205cf3db4c868,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:02.fd.asc,,,,
FreeBSD-SA-19:03,2019,2019-05-14,Multiple vulnerabilities in hostapd and wpa_supplicant,contrib,wpa,kernel,,CVE-2019-9494; CVE-2019-9495; CVE-2019-9496; CVE-2019-9497; CVE-2019-9498; CVE-2019-9499; CVE-2019-11555,,All supported versions of FreeBSD.,5f5f5d2ca9a8,346980; 347587; 346981; 347588,https://github.com/freebsd/freebsd-src/commit/5f5f5d2ca9a8d4befdfef30058a06da72f128855,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:03.wpa.asc,,,,
FreeBSD-SA-19:05,2019,2019-05-14,IPv6 fragment reassembly panic in pf(4),contrib,pf,kernel,,CVE-2019-5597,,All supported versions of FreeBSD,972ab8eaf4be,344706; 347591; 344707,https://github.com/freebsd/freebsd-src/commit/972ab8eaf4be3a05d71346f38eb7c3e04199d5bc,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:05.pf.asc,,,,
FreeBSD-SA-19:06,2019,2019-05-14,ICMP/ICMP6 packet filter bypass in pf,contrib,pf,kernel,,CVE-2019-5598,,All supported versions of FreeBSD,018b3394cde4,345377; 347593; 345378,https://github.com/freebsd/freebsd-src/commit/018b3394cde4ee8355b56e9ed1d351521010ffb5,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:06.pf.asc,,,,
FreeBSD-SA-19:08,2019,2019-06-19,Resource exhaustion in non-default RACK TCP stack,core,rack,kernel,,CVE-2019-5599,,FreeBSD 12.0 and later,045f5212d454,349197; 349199,https://github.com/freebsd/freebsd-src/commit/045f5212d454bd5aafe303be04e48bb90b8f3457,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:08.rack.asc,,,,
FreeBSD-SA-19:09,2019,2019-07-02,iconv buffer overflow,core,iconv,lib,Yes,CVE-2019-5600,,All supported versions of FreeBSD.,3130948d4a40,349622; 349621; 349624,https://github.com/freebsd/freebsd-src/commit/3130948d4a40cf702d8c2fef140467b484ee0715,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:09.iconv.asc,,,,focused
FreeBSD-SA-19:10,2019,2019-07-02,Kernel stack disclosure in UFS/FFS,core,ufs,kernel,,CVE-2019-5601,,All supported versions of FreeBSD.,395cc3f57b87,347474; 349623; 347475,https://github.com/freebsd/freebsd-src/commit/395cc3f57b8704e40c1a79a15f5a51b3f8e84f4f,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:10.ufs.asc,,,,
FreeBSD-SA-19:11,2019,2019-07-02,Privilege escalation in cd(4) driver,core,cd_ioctl,kernel,,CVE-2019-5602,,All supported versions of FreeBSD.,c9694cad9466,349628; 349625; 349629,https://github.com/freebsd/freebsd-src/commit/c9694cad94660a17e1ba4d4405b9896e8622a761,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:11.cd_ioctl.asc,,,,
FreeBSD-SA-19:12,2019,2019-07-24,telnet(1) client multiple vulnerabilities,contrib,telnet,tool,Yes,CVE-2019-0053,,All supported versions of FreeBSD.,be12ff6b8f37,350139; 350281; 350140,https://github.com/freebsd/freebsd-src/commit/be12ff6b8f37384a09854d2d56cadb41114a7cd7,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:12.telnet.asc,,,,focused
FreeBSD-SA-19:13,2019,2019-07-24,pts(4) write-after-free,core,pts,kernel,,CVE-2019-5606,,All supported versions of FreeBSD.,4260e8800ef8,349805; 350282; 349806,https://github.com/freebsd/freebsd-src/commit/4260e8800ef89969269919ba133c99b29b7dab61,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:13.pts.asc,,,,
FreeBSD-SA-19:14,2019,2019-07-24,Kernel memory disclosure in freebsd32_ioctl,core,freebsd32,kernel,,CVE-2019-5605,,FreeBSD 11.2 and FreeBSD 11.3,47d93ad3e37c,350217; 350283,https://github.com/freebsd/freebsd-src/commit/47d93ad3e37ca890e670009d4c5da5f7d223f85d,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:14.freebsd32.asc,,,,
FreeBSD-SA-19:15,2019,2019-07-24,Reference count overflow in mqueue filesystem,core,mqueuefs,kernel,,CVE-2019-5603,,All supported versions of FreeBSD.,f24f0dc9a19c,350261; 350284; 350263,https://github.com/freebsd/freebsd-src/commit/f24f0dc9a19c5048db9fe401b79ed3762090663b,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:15.mqueuefs.asc,,,,
FreeBSD-SA-19:16,2019,2019-07-24,Bhyve out-of-bounds read in XHCI device,core,bhyve,tool,Yes,CVE-2019-5604,,All supported versions of FreeBSD.,76e7c1980e78,350246; 350285; 350247,https://github.com/freebsd/freebsd-src/commit/76e7c1980e78c74b0c2b3b1e83036d88a10878ad,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:16.bhyve.asc,,,,focused
FreeBSD-SA-19:17,2019,2019-07-24,File description reference count leak,core,fd,kernel,,CVE-2019-5607,,All supported versions of FreeBSD.,dcb546862747,350222; 350286; 350223,https://github.com/freebsd/freebsd-src/commit/dcb5468627473457cbefcaccf26f08d438a4b3e4,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:17.fd.asc,,,,
FreeBSD-SA-19:18,2019,2019-08-06,Multiple vulnerabilities in bzip2,contrib,bzip2,lib,Yes,CVE-2016-3189; CVE-2019-12900,,All supported versions of FreeBSD.,12a4559aa3e5,349717; 350643; 349718,https://github.com/freebsd/freebsd-src/commit/12a4559aa3e5cb247f2c3bbf9250bbab63aeabc5,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:18.bzip2.asc,,,,focused
FreeBSD-SA-19:19,2019,2019-08-06,ICMPv6 / MLDv2 out-of-bounds memory access,core,mldv2,kernel,,CVE-2019-5608,,All supported versions of FreeBSD.,0c187c740d76,350648; 350644; 350650,https://github.com/freebsd/freebsd-src/commit/0c187c740d760aff6bd9777b33ac2a67d47facc0,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:19.mldv2.asc,,,,
FreeBSD-SA-19:20,2019,2019-08-06,Insufficient message length validation in bsnmp library,contrib,bsnmp,lib,Yes,CVE-2019-5610,,All supported versions of FreeBSD.,e7c851e54a63,350637; 350646; 350638,https://github.com/freebsd/freebsd-src/commit/e7c851e54a630edd8ef97e68392a49eaae73fccf,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:20.bsnmp.asc,,,,focused
FreeBSD-SA-19:21,2019,2019-08-06,Insufficient validation of guest-supplied data (e1000 device),core,bhyve,tool,Yes,CVE-2019-5609,,All supported versions of FreeBSD.,c604201d7d8c,350619; 350647,https://github.com/freebsd/freebsd-src/commit/c604201d7d8c817c94e0a200e7d0ae673cae586a,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:21.bhyve.asc,,,,focused
FreeBSD-SA-19:22,2019,2019-08-20,IPv6 remote Denial-of-Service,kernel,mbuf,kernel,,CVE-2019-5611,,All supported versions of FreeBSD.,dbb9f166cc86,350828; 351259; 350829,https://github.com/freebsd/freebsd-src/commit/dbb9f166cc86e935b98bc74ecdc149d42bab0550,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:22.mbuf.asc,,,,
FreeBSD-SA-19:23,2019,2019-08-20,kernel memory disclosure from /dev/midistat,core,midi,kernel,,CVE-2019-5612,,All supported versions of FreeBSD.,a0a60e087318,351264; 351260; 351265,https://github.com/freebsd/freebsd-src/commit/a0a60e08731805138b349805d01b6a0f9c0001ff,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:23.midi.asc,,,,
FreeBSD-SA-19:24,2019,2019-08-20,Reference count overflow in mqueue filesystem 32-bit compat,core,mqueuefs,kernel,,CVE-2019-5603,,All supported versions of FreeBSD.,f5d936c6d8a6,351255; 351261; 351257,https://github.com/freebsd/freebsd-src/commit/f5d936c6d8a616c4be221b1bfe1755e2ab645d4f,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-19:24.mqueuefs.asc,,,,
FreeBSD-SA-20:01,2020,2020-01-28,libfetch buffer overflow,core,libfetch,lib,Yes,CVE-2020-7450,,All supported versions of FreeBSD.,d26920de80e3,357213; 357217; 357214,https://github.com/freebsd/freebsd-src/commit/d26920de80e3b30304367182e528bb4332f06b33,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:01.libfetch.asc,,,,focused
FreeBSD-SA-20:02,2020,2020-01-28,Missing IPsec anti-replay window check,core,ipsec,kernel,,CVE-2019-5613,,FreeBSD 12.0 only,27bee646a451,357218,https://github.com/freebsd/freebsd-src/commit/27bee646a4516c4e737a2adb1f36ec9ac303add0,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:02.ipsec.asc,,,,
FreeBSD-SA-20:03,2020,2020-01-28,kernel stack data disclosure,core,thrmisc,kernel,,CVE-2019-15875,,All supported versions of FreeBSD.,1804b0bd538d,354734; 357219; 354735,https://github.com/freebsd/freebsd-src/commit/1804b0bd538d213793b8374a5ca068a400828ced,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:03.thrmisc.asc,,,,
FreeBSD-SA-20:04,2020,2020-03-19,TCP IPv6 SYN cache kernel information disclosure,core,tcp,kernel,,CVE-2020-7451,,All supported versions of FreeBSD.,8274d878c0e1,358739; 359138; 358740,https://github.com/freebsd/freebsd-src/commit/8274d878c0e1ee57563567e2ae8becf75f9143b1,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:04.tcp.asc,,,,
FreeBSD-SA-20:05,2020,2020-03-19,Insufficient oce(4) ioctl(2) privilege checking,core,if_oce_ioctl,kernel,,CVE-2019-15876,,All supported versions of FreeBSD.,03a5d3e78cda,356089; 359139; 356090,https://github.com/freebsd/freebsd-src/commit/03a5d3e78cda9e430d4b921475056a6f17a69c5a,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:05.if_oce_ioctl.asc,,,,
FreeBSD-SA-20:06,2020,2020-03-19,Insufficient ixl(4) ioctl(2) privilege checking,core,if_ixl_ioctl,kernel,,CVE-2019-15877,,All supported versions of FreeBSD.,9842ed885917,356606; 359140,https://github.com/freebsd/freebsd-src/commit/9842ed8859172c3553bc3d833fec8bca73256ea6,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:06.if_ixl_ioctl.asc,,,,
FreeBSD-SA-20:07,2020,2020-03-19,Incorrect user-controlled pointer use in epair,core,epair,kernel,,CVE-2020-7452,,All supported versions of FreeBSD.,fcfa8e1efd4c,357490; 359141; 357489,https://github.com/freebsd/freebsd-src/commit/fcfa8e1efd4ccee4a497806c4eed5c71d2071b4c,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:07.epair.asc,,,,
FreeBSD-SA-20:08,2020,2020-03-19,Kernel memory disclosure with nested jails,core,jail,kernel,,CVE-2020-7453,,All supported versions of FreeBSD.,dd377685f281,359021; 359142; 359020,https://github.com/freebsd/freebsd-src/commit/dd377685f2810780a397577c63e8236e9bd95e8c,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:08.jail.asc,,,,
FreeBSD-SA-20:10,2020,2020-04-21,ipfw invalid mbuf handling,core,ipfw,kernel,,CVE-2019-5614; CVE-2019-15874,,,b2139df42d40,356035; 360149; 356036,https://github.com/freebsd/freebsd-src/commit/b2139df42d40ad7db79949b01ad30cb74a564f9c,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:10.ipfw.asc,,,,
FreeBSD-SA-20:11,2020,2020-04-21,OpenSSL remote denial of service vulnerability,contrib,openssl,lib,Yes,CVE-2020-1967,,FreeBSD 12.1,9c325392eae3,360147; 360150,https://github.com/freebsd/freebsd-src/commit/9c325392eae38dcb0dea8c9bfa680fc1c945fa59,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:11.openssl.asc,,,,focused
FreeBSD-SA-20:12,2020,2020-05-12,Insufficient packet length validation in libalias,core,libalias,kernel,,CVE-2020-7454,,All supported versions of FreeBSD.,b57b6a8d61cc,360971; 360972,https://github.com/freebsd/freebsd-src/commit/b57b6a8d61cc3d3a4fccb78ec87d6a9b0239d505,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:12.libalias.asc,,,,
FreeBSD-SA-20:13,2020,2020-05-12,Memory disclosure vulnerability in libalias,core,libalias,kernel,,CVE-2020-7455,,All supported versions of FreeBSD,b57b6a8d61cc,360973; 360974,https://github.com/freebsd/freebsd-src/commit/b57b6a8d61cc3d3a4fccb78ec87d6a9b0239d505,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:13.libalias.asc,,,,
FreeBSD-SA-20:14,2020,2020-05-12,Improper checking in SCTP-AUTH shared key update,core,sctp,kernel,,CVE-2019-15878,,FreeBSD 11.3,033a6fb64cba,352509; 360975,https://github.com/freebsd/freebsd-src/commit/033a6fb64cbac1547abdece1e9e1c645c51fa494,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:14.sctp.asc,,,,
FreeBSD-SA-20:15,2020,2020-05-12,Use after free in cryptodev module,core,cryptodev,kernel,,CVE-2019-15879,,All supported versions of FreeBSD.,928384869490,356908; 360976,https://github.com/freebsd/freebsd-src/commit/928384869490921c8ed04dc2aa155cbca53eaefa,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:15.cryptodev.asc,,,,
FreeBSD-SA-20:16,2020,2020-05-12,Insufficient cryptodev MAC key length check,core,cryptodev,kernel,,CVE-2019-15880,,FreeBSD 12.1,928384869490,356911; 360977,https://github.com/freebsd/freebsd-src/commit/928384869490921c8ed04dc2aa155cbca53eaefa,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:16.cryptodev.asc,,,,
FreeBSD-SA-20:17,2020,2020-06-09,USB HID descriptor parsing error,core,usb,kernel,,CVE-2020-7456,,All supported versions of FreeBSD.,bc689c2fb406,361918; 361972; 361919,https://github.com/freebsd/freebsd-src/commit/bc689c2fb406fe5ae3ea591f27752a83113838a6,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:17.usb.asc,,,dual_scope: sys/dev/usb/(kernel) + lib/libusbhid/(userspace) both fixed,
FreeBSD-SA-20:18,2020,2020-07-08,posix_spawnp(3) buffer overflow,core,posix_spawnp,lib,Yes,CVE-2020-7458,,FreeBSD 11.4,6dfa236dcd29,362281; 363025,https://github.com/freebsd/freebsd-src/commit/6dfa236dcd29f6d0b1c8f62251bd6214e4f91467,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:18.posix_spawnp.asc,,,,focused
FreeBSD-SA-20:20,2020,2020-07-08,IPv6 socket option race condition and use after free,core,ipv6,kernel,,CVE-2020-7457,,All supported versions of FreeBSD.,e737287d4e7e,359565; 363026; 362975,https://github.com/freebsd/freebsd-src/commit/e737287d4e7ed7145749c8fd8235ec930e3665f6,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:20.ipv6.asc,,,,
FreeBSD-SA-20:21,2020,2020-08-05,Potential memory corruption in USB network device drivers,core,usb_net,kernel,,CVE-2020-7459,,All supported versions of FreeBSD.,8608d8575f01,362166; 363921; 362167,https://github.com/freebsd/freebsd-src/commit/8608d8575f01232c0f93a47d501d38e2e2f6e6ca,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:21.usb_net.asc,,,,
FreeBSD-SA-20:23,2020,2020-08-05,sendmsg(2) privilege escalation,core,sendmsg,kernel,,CVE-2020-7460,,All supported versions of FreeBSD.,05267beac514,363918; 363923; 363919,https://github.com/freebsd/freebsd-src/commit/05267beac51492b96fa1a6f2497aedfb819c58bc,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:23.sendmsg.asc,,,,
FreeBSD-SA-20:24,2020,2020-09-02,IPv6 Hop-by-Hop options use-after-free bug,core,ipv6,kernel,,CVE-2020-7462,,FreeBSD 11.3,b4e4841f6486,360733; 365255,https://github.com/freebsd/freebsd-src/commit/b4e4841f6486fcec94645a0ec2a340f8c8eff19a,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:24.ipv6.asc,,,,
FreeBSD-SA-20:25,2020,2020-09-02,SCTP socket use-after-free bug,core,sctp,kernel,,CVE-2020-7463,,All supported versions of FreeBSD.,f6ce56c68ca2,364644; 365256; 364651,https://github.com/freebsd/freebsd-src/commit/f6ce56c68ca2daa2bafb2752e4704188bfcf9e3c,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:25.sctp.asc,,,,
FreeBSD-SA-20:26,2020,2020-09-02,dhclient heap overflow,core,dhclient,tool,Yes,CVE-2020-7461,,All supported versions of FreeBSD.,b2ed812dbd2e,365010; 365257; 365011,https://github.com/freebsd/freebsd-src/commit/b2ed812dbd2e0872806aed91ec528ed46271c5ca,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:26.dhclient.asc,,,,focused
FreeBSD-SA-20:27,2020,2020-09-15,ure device driver susceptible to packet-in-packet attack,core,ure,kernel,,CVE-2020-7464,,All supported versions of FreeBSD.,9dc5a79fdce5,365730; 365778; 365738,https://github.com/freebsd/freebsd-src/commit/9dc5a79fdce5313eba90fca907ab96e48764581e,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:27.ure.asc,,,,
FreeBSD-SA-20:28,2020,2020-09-15,bhyve privilege escalation via VMCS access,core,bhyve_vmcs,kernel,,CVE-2020-24718,,All supported versions of FreeBSD.,b96e6772dfc6,365777; 365779,https://github.com/freebsd/freebsd-src/commit/b96e6772dfc6ee7a704020d8f7e4a0f8b38edbb0,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:28.bhyve_vmcs.asc,,,,
FreeBSD-SA-20:29,2020,2020-09-15,bhyve SVM guest escape,core,bhyve_svm,kernel,,CVE-2020-7467,,All supported versions of FreeBSD.,a76dd71a2d14,365767; 365780; 365769,https://github.com/freebsd/freebsd-src/commit/a76dd71a2d142877b19a9b58bbd7d10d8acc253e,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:29.bhyve_svm.asc,,,,
FreeBSD-SA-20:30,2020,2020-09-15,ftpd privilege escalation via ftpchroot feature,core,ftpd,tool,Yes,CVE-2020-7468,,All supported versions of FreeBSD.,ff1e565f5a17,365772; 365781; 365773,https://github.com/freebsd/freebsd-src/commit/ff1e565f5a1708c18f58cddf8566bd79cca9cdea,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:30.ftpd.asc,,,,focused
FreeBSD-SA-20:31,2020,2020-12-01,ICMPv6 use-after-free in error message handling,core,icmp6,kernel,,CVE-2020-7469,,All supported versions of FreeBSD.,229d311aa423,367402; 368255; 368202,https://github.com/freebsd/freebsd-src/commit/229d311aa42306953eb45bc55a8c5ca97312025e,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:31.icmp6.asc,,,,
FreeBSD-SA-20:32,2020,2020-12-01,Multiple vulnerabilities in rtsold,core,rtsold,tool,Yes,CVE-2020-25577; CVE-2020-25583,,All supported versions of FreeBSD,e937464e2b89,368250; 368256; 368253,https://github.com/freebsd/freebsd-src/commit/e937464e2b89799135b7ba511b9f999573dbb115,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:32.rtsold.asc,,,,focused
FreeBSD-SA-20:33,2020,2020-12-08,OpenSSL NULL pointer de-reference,contrib,openssl,lib,Yes,CVE-2020-1971,,All supported versions of FreeBSD.,4fbf189781c7,368459; 368463; 368530; 368643,https://github.com/freebsd/freebsd-src/commit/4fbf189781c716c626a8893c8aa8a9c391191e57,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-20:33.openssl.asc,,,,focused
FreeBSD-SA-21:01,2021,2021-01-29,Uninitialized kernel stack leaks in several file systems,core,fsdisclosure,kernel,,CVE-2020-25578; CVE-2020-25579,,All supported versions of FreeBSD.,,368969; 369175; 369165; 369047; 369156,,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-21:01.fsdisclosure.asc,,,,
FreeBSD-SA-21:02,2021,2021-01-29,Xen guests can triger backend Out Of Memory,contrib,xenoom,kernel,,CVE-2020-29568,,All supported versions of FreeBSD.,,369038; 369177; 369167; 369072; 369158,,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-21:02.xenoom.asc,,,,
FreeBSD-SA-21:03,2021,2021-02-24,login.access fails to apply rules,core,pam_login_access,lib,Yes,CVE-2020-25580,,All supported versions of FreeBSD.,8cf559d6b9b4,369346; 369359; 369345; 369351,https://github.com/freebsd/freebsd-src/commit/8cf559d6b9b4782bf67eb868ea480f47fc8c64a4,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-21:03.pam_login_access.asc,,,,focused
