sa_id,year,announced,topic,category,module,scope_tier,is_priority,cve,cwe,affects,git_hashes,svn_revisions,github_commit_urls,diff_available,data_quality,advisory_raw_url,source,upstream_path,note,commit_grade
FreeBSD-SA-15:19,2015,2015-08-05,routed(8) remote denial of service vulnerability,core,routed,tool,Yes,CVE-2015-5674,,All supported versions of FreeBSD.,6bcc74dfb82b,286349; 286352; 286348; 286351; 286350,https://github.com/freebsd/freebsd-src/commit/6bcc74dfb82b4c42f0a3579284a755aa1a32d77a,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:19.routed.asc,,,,bundled_multi_module
FreeBSD-SA-15:20,2015,2015-08-18,Multiple integer overflows in expat (libbsdxml) XML parser,contrib,expat,lib,Yes,CVE-2015-1283,,All supported versions of FreeBSD.,eb54d706e4e5,286900; 286902; 286901,https://github.com/freebsd/freebsd-src/commit/eb54d706e4e53793d5b77cc6f3fd46234e689b54,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:20.expat.asc,,,,focused
FreeBSD-SA-15:21,2015,2015-08-25,Local privilege escalation in IRET handler,core,amd64,kernel,,CVE-2015-5675,,FreeBSD 9.3 and FreeBSD 10.1,2558ef53a140,280877; 287147; 280875; 287146,https://github.com/freebsd/freebsd-src/commit/2558ef53a140a2a8c43348bd9356347b8a6b60ba,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:21.amd64.asc,,,,
FreeBSD-SA-15:22,2015,2015-08-25,OpenSSH multiple vulnerabilities,contrib,openssh,tool,Yes,,,All supported versions of FreeBSD.,2157c4cb8772,287144; 287147; 287146; 287145,https://github.com/freebsd/freebsd-src/commit/2157c4cb8772a7adedb016718bbd516462407b01,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:22.openssh.asc,,,,
FreeBSD-SA-15:24,2015,"2015-09-29, revised on 2015-10-02",rpcbind(8) remote denial of service [REVISED],core,rpcbind,tool,Yes,CVE-2015-7236,,All supported versions of FreeBSD.,2757faf97179,288511; 288512,https://github.com/freebsd/freebsd-src/commit/2757faf97179806db8cd93efd546fabd73ed4cd1,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:24.rpcbind.asc,,,,focused
FreeBSD-SA-15:26,2015,2015-12-05,Multiple OpenSSL vulnerabilities,contrib,openssl,lib,Yes,CVE-2015-3194; CVE-2015-3195; CVE-2015-3196,,All supported versions of FreeBSD.,c800785d3a41,291722; 291854; 291721,https://github.com/freebsd/freebsd-src/commit/c800785d3a41149c2ee3644464d9436cca9c1b7d,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:26.openssl.asc,,,,focused
FreeBSD-SA-16:01,2016,2016-01-14,SCTP ICMPv6 error message vulnerability,core,sctp,kernel,,CVE-2016-1879,,All supported versions of FreeBSD,,293898; 293896; 293897; 293894; 293893,,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:01.sctp.asc,,,,
FreeBSD-SA-16:03,2016,2016-01-14,Linux compatibility layer incorrect futex handling,core,linux,kernel,,CVE-2016-1880,,All supported versions of FreeBSD.,,293898; 293896; 293897; 293894; 293893,,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:03.linux.asc,,,,
FreeBSD-SA-16:04,2016,2016-01-14,Linux compatibility layer setgroups(2) system call,core,linux,kernel,,CVE-2016-1881,,All supported versions of FreeBSD,,293898; 293896; 293897; 293894; 293893,,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:04.linux.asc,,,,
FreeBSD-SA-16:05,2016,2016-01-14,TCP MD5 signature denial of service,core,tcp,kernel,,CVE-2016-1882,,All supported versions of FreeBSD.,,293898; 293896; 293897; 293894; 293893,,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:05.tcp.asc,,,,
FreeBSD-SA-16:06,2016,2016-01-14,Insecure default snmpd.config permissions,contrib,bsnmpd,tool,Yes,CVE-2015-5677,,All supported versions of FreeBSD.,,293898; 293896; 293897; 293894; 293893,,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:06.bsnmpd.asc,,,,
FreeBSD-SA-16:07,2016,2016-01-14,OpenSSH client information leak,contrib,openssh,tool,Yes,CVE-2016-0777,,All supported versions of FreeBSD.,af0b9f210191,294053; 294054; 294049; 294051; 294052,https://github.com/freebsd/freebsd-src/commit/af0b9f2101915335df91093d000f4faa8c45a05c,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:07.openssh.asc,,,,focused
FreeBSD-SA-16:10,2016,2016-01-27,Linux compatibility layer issetugid(2) system call,core,linux,kernel,,CVE-2016-1883,,All supported versions of FreeBSD.,14882d9c7a69,294903; 294905; 294901; 294904,https://github.com/freebsd/freebsd-src/commit/14882d9c7a69a58cf996890a7d06417840fa0618,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:10.linux.asc,,,,
FreeBSD-SA-16:11,2016,2016-01-30,OpenSSL SSLv2 ciphersuite downgrade vulnerability,contrib,openssl,lib,Yes,CVE-2015-3197,,All supported versions of FreeBSD.,76061d993c05,295060; 295061; 295016,https://github.com/freebsd/freebsd-src/commit/76061d993c05ba35f39d4f5083419629aee1b57c,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:11.openssl.asc,,,,focused
FreeBSD-SA-16:12,2016,2016-03-10,Multiple OpenSSL vulnerabilities,contrib,openssl,lib,Yes,CVE-2016-0702; CVE-2016-0703; CVE-2016-0704; CVE-2016-0705; CVE-2016-0797; CVE-2016-0798; CVE-2016-0799; CVE-2016-0800,,All supported versions of FreeBSD.,2aab9f2e02bf,296598; 296611; 296371; 296341,https://github.com/freebsd/freebsd-src/commit/2aab9f2e02bfc1930b0c9f7704bee21c4f910a4b,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:12.openssl.asc,,,,medium
FreeBSD-SA-16:14,2016,2016-03-16,OpenSSH xauth(1) command injection,contrib,openssh,tool,Yes,CVE-2016-3115,,All supported versions of FreeBSD.,c2d52282768a,296780; 296953; 296781; 296954; 296955; 296853,https://github.com/freebsd/freebsd-src/commit/c2d52282768af9a11735b27ed3bc9e8f2e850783,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-16:14.openssh.asc,,,,bundled_multi_module
